,Expected entropy
miter,5.939691806553876
toils,5.939910853201331
hires,5.940162789217772
bleat,5.940412275219326
teams,5.940771216725162
smile,5.942224896870951
recto,5.9423775633575655
leads,5.943016653172761
skate,5.943133372885157
smite,5.944020399410809
panes,5.944714184379439
rheas,5.945220826240612
strep,5.945362238021582
forte,5.945586526705785
crime,5.9456465837100065
gales,5.9474088137489955
deary,5.948212354264327
stied,5.950056994658494
brant,5.951858787566424
altos,5.952417297644751
eruct,5.952874307420431
coals,5.952974616316756
wrote,5.95322672764097
elate,5.953923976807079
coats,5.954643680528061
artsy,5.954849466629585
males,5.954977748366972
mates,5.955534455371802
gates,5.955703098672132
actor,5.956397997811311
argue,5.956476378224786
gator,5.956853225932616
loper,5.956904980457104
argot,5.957038832806928
namer,5.957475786255468
remit,5.957603488430955
terse,5.958797405285794
camel,5.9595435001727814
heirs,5.9612479557797755
scant,5.9612835786609
prats,5.961477318913421
cutie,5.962297582250813
sober,5.9632004907261065
shoat,5.9639401083386145
reman,5.963990649280366
afore,5.964219913712258
liens,5.964270129358224
shade,5.965053683235312
lucre,5.966999602984965
cones,5.9695082485976005
slept,5.9697707929469175
cased,5.969825083786064
motel,5.970789966259723
leaps,5.971803935317922
grail,5.972554542971525
chart,5.97270574728668
miler,5.972944890652503
purse,5.974669125825494
plies,5.975520479407066
stead,5.975658125643914
biter,5.975705318716072
fares,5.976465430393343
macer,5.977550154553225
aides,5.977591844961909
steno,5.977764966051849
inure,5.978237774928019
spine,5.98084577786309
runes,5.980954033943003
aside,5.981195824607624
phase,5.981468065466513
cream,5.981764970406085
feral,5.982489437670245
anger,5.983731183960824
smote,5.983737595098465
snide,5.9838733590328355
nails,5.984977665572142
amine,5.985344147083078
laced,5.986370191010418
apers,5.987162120052304
paint,5.987666698094254
shape,5.987918542109707
sutra,5.988144988150174
slave,5.988486848154242
chile,5.988792817164069
raped,5.989405752699632
short,5.989668956706273
nicer,5.990333134242778
beats,5.990981115041522
plant,5.991882583199428
tabor,5.991895478038802
cheat,5.992091051759169
abler,5.992106400550257
angle,5.9922271088149826
dolce,5.992686049931396
coder,5.992975670938541
brent,5.993148588793064
noels,5.99439388117342
saver,5.994753622341343
anime,5.99483074053026
darts,5.995136635197139
alike,5.995238904467671
mores,5.99527948112465
snipe,5.996038635088647
older,5.996611101999921
astro,5.996754110250325
leach,5.996891402279841
doers,5.997544580601841
bates,5.997784361563823
worse,5.998031004816379
loath,5.998070122761177
lithe,5.99842052091572
wares,5.998519328902732
waste,5.999062470823074
parts,5.999105123348657
cures,6.000543781325718
court,6.001144756133078
dinar,6.001171214938731
spelt,6.001361830888607
shirt,6.001575788376683
hilar,6.00243287785928
miser,6.002527867987058
heron,6.002684908873163
bries,6.003520203681587
tyres,6.003592815445807
gores,6.003691028706969
prune,6.004086816997425
lutes,6.004140409746606
tunes,6.004187402491938
swear,6.004595794804097
monte,6.004908424586381
ousel,6.004958405098423
bales,6.005079923389489
rainy,6.0052318295667275
fears,6.005526150968809
unite,6.005526165881835
armed,6.005583983079182
lames,6.005659296428774
pieta,6.005799855064776
rides,6.005869341069132
payer,6.005974184880334
mires,6.007253502971778
pride,6.007769675484956
traps,6.00792180685243
eater,6.0079653173197265
goner,6.008063225587276
crept,6.008470131313537
pried,6.008634081306096
ripen,6.008689065185863
crave,6.009847404846453
relic,6.009924689059677
bared,6.0105502611665305
salty,6.0120008839773185
pairs,6.012324841226282
ropes,6.01275304900858
paled,6.012972107799893
oldie,6.013306383834677
stake,6.0137377975001085
acnes,6.013775852123837
lepta,6.013848197750809
death,6.014081051406313
pleas,6.014837302338279
molar,6.016325298252661
rayed,6.016449633135414
goest,6.016671833257958
crits,6.017167266726297
glade,6.017172842434533
cider,6.01732524363976
hairs,6.01745902328157
acorn,6.017776302384057
doles,6.017820233881505
taped,6.019310309152581
scent,6.019524966102838
hoers,6.019714789702255
stray,6.019883073853033
sepia,6.020226409860562
means,6.020502568698847
valet,6.020548419427326
marge,6.02167617523611
yores,6.021925664434256
petri,6.021963431963795
talcs,6.021982789425424
wears,6.022573567932409
salve,6.022920994994275
brute,6.023893730709786
chert,6.024076677394268
trays,6.024145975240304
rosin,6.024399417773397
recut,6.02473429993899
narco,6.0248327361161005
harts,6.0250064745191505
cento,6.026025120614865
spade,6.026607703125562
coper,6.026941625375686
laity,6.027032191999249
hoars,6.027121582329797
hated,6.0276588665862025
lunar,6.028339180792483
manes,6.028383741694894
beard,6.029226684968456
sleet,6.029836502682706
heros,6.030028875577494
after,6.030490366771239
dotes,6.0311480919469425
utero,6.0321952144839965
boast,6.03252599652339
raged,6.032810206266616
ready,6.0328842691227775
poles,6.033084308051306
gloat,6.033573535780637
tarps,6.033716453260645
haled,6.0337545750497315
outen,6.033993630941913
plena,6.034897041839858
slued,6.035471626430959
angel,6.035937770906025
buret,6.035947065412012
chair,6.036385299217261
tides,6.0370546260869276
drake,6.037845864964887
shame,6.038097372286258
lacey,6.039451859409848
piers,6.039688888339419
swore,6.039893740393683
snake,6.039977332027455
coati,6.040225437664391
harem,6.040909493482965
laker,6.041321650765922
sprue,6.041630195165227
oncet,6.042098470921689
carve,6.042164451458144
pager,6.042179769170474
metro,6.043010117640897
shute,6.043474701881596
shoal,6.043645930529034
toric,6.04428061149071
boner,6.044423034514496
bores,6.044480104512589
douse,6.0448973209336785
moral,6.045046314488113
recap,6.045394180537869
bract,6.045719140466921
surge,6.045769367869172
relet,6.046185312893989
miner,6.046432181217868
lined,6.047062870326801
print,6.047604460925711
radon,6.047681091349646
hayer,6.048346818090209
horde,6.048369065069682
canto,6.048725247880426
grain,6.048905331537183
topes,6.049369371513874
pored,6.049704281237432
auger,6.04993815201531
epact,6.049945178540989
roads,6.050380970423008
style,6.050381412602889
holes,6.05051567159865
royal,6.051275433098047
super,6.052033790753942
blast,6.052990659680507
spice,6.053196019827966
noted,6.053318774255801
coyer,6.053420593915837
agone,6.054361308080868
piles,6.054793700372484
lured,6.055321525867083
ulnar,6.055337378880845
sport,6.055420702499755
trams,6.0562142672005885
unset,6.056630670271603
beaut,6.05826068619419
trove,6.058312180524741
barge,6.058741105637036
darns,6.058869278080387
lieth,6.059011658294059
blade,6.059646408663764
manor,6.059688666237489
nadir,6.0613895313057515
decal,6.0621542976982505
glean,6.0621570611168645
capes,6.062184795073797
clans,6.062571675548241
banes,6.063321533766011
crust,6.063423496455842
sprit,6.065068791083608
narcs,6.065103585059665
tamed,6.065138156867826
acted,6.065753643892884
peaty,6.066245077015642
wrest,6.066605309178375
flier,6.06758544341592
tours,6.0676863152951634
cease,6.068114801172066
smelt,6.0682315179948905
raids,6.068915962342433
email,6.06901878059038
maple,6.0690609168089305
shred,6.069398592511451
dicer,6.069780947260655
untie,6.069793791790146
oiled,6.069858993046798
dulse,6.070279167398959
tuple,6.0707760495456675
colas,6.07115819174788
strap,6.071747246673165
groan,6.071855670557277
paned,6.07214028051564
beans,6.072373405662992
tansy,6.072490640160022
terms,6.0729327194485965
treat,6.073173497279312
rasae,6.073226660218319
napes,6.073406952725223
house,6.073547908293113
crash,6.073613725007452
comet,6.0738686156239865
reset,6.073968007887068
gaper,6.074631697934257
clime,6.074667007898731
copse,6.075854461181451
cents,6.075871814465257
bairn,6.076146342397528
lunes,6.076243579215284
singe,6.076413462100799
bloat,6.077462046132796
rouge,6.07772458507244
riced,6.078341884818655
roach,6.078568862150288
ruled,6.078642036830477
gruel,6.078675997964024
feats,6.078732915441859
brain,6.0789144957579255
sweat,6.079125188691346
rifle,6.080066441388374
tuans,6.080201637675675
grist,6.080310701149378
marts,6.080341854000373
abort,6.080380709601479
clues,6.081103843432991
steam,6.081334660159383
filet,6.081410154017861
fetal,6.081920399506171
cited,6.082908806434896
reign,6.083181906615298
blest,6.083280922975188
lodes,6.083328976874824
feist,6.084796966113325
gated,6.0849568529618905
iotas,6.085348624465878
beano,6.085967742901277
agent,6.086007315843814
legit,6.0860329162524485
tinge,6.086948883845691
ravel,6.086991040567225
plein,6.087033731993062
taken,6.0873378606178985
cants,6.087355577017204
avert,6.087373279216381
rayon,6.08757525794965
crude,6.087641082968219
chose,6.088195578907733
splat,6.08829763217152
spent,6.088333837934635
comer,6.088580581101494
tacos,6.089067996933201
tidal,6.090076113834181
rimes,6.090101731914805
treys,6.09013372151892
pulse,6.090839527099185
tater,6.090906523910318
goers,6.091055387616093
ulcer,6.091093429814904
intra,6.091550509917597
prime,6.091684077063251
krone,6.092736200987499
gayer,6.09344232604941
talus,6.093869534065771
costa,6.093895542379888
brats,6.094101278220627
hired,6.094494935889661
paces,6.094592835619151
swart,6.095286615607095
tower,6.095609677058078
toads,6.0956861523972865
hoist,6.0958048066673065
nitro,6.096006060133953
rakes,6.096287717862634
carny,6.097172558165108
facet,6.097860672493403
opera,6.097919953306252
sower,6.098532209609458
torus,6.099831960830688
pails,6.099967389467151
fates,6.100779058529849
skier,6.100801011332598
coned,6.1010160751191345
labor,6.101116237378285
plain,6.101635434442522
mated,6.101679135231536
hones,6.101750366784437
staid,6.102180202931814
seine,6.102209682049302
chine,6.102467467466627
moles,6.102742366088311
pones,6.102876351531537
guile,6.102974150314123
irons,6.103044842763696
orcas,6.103773349890057
giant,6.103782840951004
trite,6.104025402693292
tomes,6.104039660894572
debar,6.104310140023636
weals,6.104585406453571
cameo,6.1049269739562195
dream,6.105080232652591
velar,6.105306412928539
betas,6.105370844204128
lyres,6.1054191304373955
feuar,6.105863905155451
alive,6.106298292247758
fries,6.106662848296521
routs,6.107005477108247
roily,6.108012746229199
lopes,6.108401567648785
serif,6.108406856805484
ultra,6.108445867652184
hails,6.108475848809291
stave,6.108612885335899
laver,6.108787932776186
facer,6.109374029399761
lobar,6.109412886694913
toker,6.109614729819912
frame,6.111038642247404
plats,6.111304488589551
poets,6.111406824500491
corns,6.111883103824299
terce,6.1120243534755625
loins,6.112971643438155
motes,6.1130840980960075
refit,6.113174167114881
dials,6.11399721330213
olden,6.11427986640712
force,6.114855367103651
aspen,6.115031025395158
idler,6.115309986228269
fared,6.115788057374428
rater,6.115843732892043
robes,6.115845629097295
decor,6.116159957631493
antis,6.11617475051655
rogue,6.117085799872374
resaw,6.117766969795603
credo,6.117826518063167
rente,6.118031402050263
radio,6.118633549019431
ligne,6.119521316314449
erupt,6.120580249116815
times,6.121210364891573
acned,6.121658655034002
coils,6.121978609329028
frail,6.122157489465429
bread,6.123071135843177
adorn,6.123090394506139
teaks,6.123330423498132
plied,6.124135023811464
baron,6.124534234040325
bathe,6.124552618219003
muter,6.124572725320618
pedal,6.124583392230435
repay,6.1246147754223035
fetor,6.1248049604620025
amuse,6.12482302544848
wales,6.124913206549112
miles,6.124962900228642
gluer,6.125199271718632
thorn,6.125417456258219
other,6.125453675287222
gripe,6.1260723104166726
trees,6.126533614616258
flair,6.126684806951853
mites,6.127075885779821
lards,6.1287472530031835
lions,6.129643159200024
raven,6.1298126458405395
roams,6.129823521990311
gored,6.13012318308328
cured,6.1308892988969665
bated,6.131319437638318
sloth,6.132534964922594
dines,6.1328970892217605
cages,6.1334394829788295
pelts,6.134082649499463
hoard,6.134430419028836
diets,6.134643090863955
marls,6.135279804770674
shnor,6.135991806990245
pecan,6.136346444379533
gamer,6.136539086765779
bride,6.136659553148793
elite,6.137024937172936
besot,6.137216649961002
nosed,6.137268435150074
seamy,6.137370960286167
names,6.137991595560264
shied,6.1390701871424955
yenta,6.139360822213666
ocean,6.139403587892439
yarns,6.1397228996989135
verst,6.139838769155974
luted,6.140382435979772
uteri,6.1404596113646095
trier,6.1410399076755855
mealy,6.141384360088234
stand,6.141469738482456
boars,6.1420060831730146
baled,6.1421461125738475
takes,6.142284933719757
mouse,6.14236080555685
eaten,6.142709631931404
filer,6.14274716895877
clave,6.142750368897273
craft,6.142946777555917
easel,6.1433609130955
dirge,6.143713330303656
vitae,6.144012522183159
trawl,6.144376877268019
lamed,6.1445781411948746
delis,6.144746789754684
rivet,6.144903228525071
boule,6.145609302276552
apron,6.14564651190359
raths,6.145936651171882
pines,6.146145248427882
tuned,6.146154467153819
retch,6.146406620549879
grope,6.146627014898949
kales,6.1475271626263
moist,6.147570280030676
gable,6.147800651921381
snout,6.148063096108397
dairy,6.148672544975802
tuber,6.148725247256312
largo,6.148820416940559
larch,6.149195436501652
gnarl,6.149952728059562
latte,6.150149011615014
fores,6.150501739412159
doper,6.151005250258525
towel,6.151375464571477
argon,6.151745458980363
torte,6.152265413287155
matey,6.152709391165723
story,6.153014233212125
opine,6.153458312650497
areal,6.153483052174801
creak,6.1537096471881325
blame,6.154017028217288
point,6.154116965884869
mired,6.154145058246747
peons,6.155075994468345
ideal,6.155270661320734
facie,6.155499307197872
shorn,6.155654531385291
spilt,6.1559259998768265
roped,6.156037845467305
guise,6.1565977465157955
chant,6.156949861997866
scorn,6.156976624863092
plead,6.157517084892451
shoed,6.157550555460262
meaty,6.157814979321167
proem,6.158649544932795
moats,6.1591344520054285
ashen,6.160026884123388
airer,6.160388243663203
waist,6.160492818187789
raves,6.160497492635463
noble,6.160734854181502
delay,6.161291216640741
limen,6.161637526000822
aegis,6.161745816391246
hider,6.1621108311171495
ounce,6.162255016450657
pesto,6.1625613974606885
goats,6.163186422435889
carom,6.163477972936205
state,6.163840484942673
biers,6.163979811150081
poled,6.164797338469279
loges,6.164923771500523
steer,6.165324810199417
tense,6.165347620005105
latus,6.165349400416278
versa,6.1657919409357005
ruble,6.165894034348108
maned,6.166519373171008
goals,6.166524900321004
clots,6.167108607512776
gaits,6.167190044004976
diary,6.16746367407905
bluer,6.168528081116587
party,6.168989650598875
ports,6.169301368648877
bored,6.170259037603246
loads,6.170399234424945
tardy,6.172707863845411
terra,6.173004452882353
feint,6.173407746570205
roman,6.173530172358774
icers,6.174311843584158
gaols,6.1748927127396716
coney,6.174922106872891
ankle,6.175045107772737
fires,6.175084757556051
clout,6.1753219425386465
shyer,6.175329751398138
solid,6.175850030533959
hoper,6.17638883880474
voile,6.176414020808056
grime,6.177825960707895
maces,6.17875535140854
frats,6.178757086192484
pilot,6.178768890552859
fader,6.179068768920131
taste,6.179221383842687
rends,6.179318850891709
brake,6.180499541647976
shard,6.180854720683421
weans,6.181073647781363
hoary,6.1811473208071135
daunt,6.1819160674276885
aleph,6.18209089439687
scary,6.182163013355019
biles,6.182380956319619
bites,6.182493840351139
probe,6.182579637146812
calve,6.183206640513613
halts,6.183284269181729
leafs,6.183814006716334
strew,6.184477167433076
tapis,6.184677990315895
tunas,6.185083915075019
mails,6.1854750521995765
youse,6.185538858072706
titre,6.185545141262604
rands,6.185712709366046
leaks,6.186063731997287
hades,6.186606472490876
broil,6.186707976997571
colts,6.186989470134496
twine,6.187257031380634
ascot,6.187916522399317
cauls,6.188117223858126
craps,6.18845074469981
wanes,6.188754199015712
sugar,6.188767627364537
pease,6.188837652142468
swine,6.189088029289285
serum,6.189339911172765
hairy,6.18988770076077
pruta,6.190521134234495
wiser,6.191201500035526
scope,6.191409456232274
turns,6.1917385146023225
holed,6.191753812521362
limes,6.192128134211426
cigar,6.192673771555129
inode,6.192702540194781
wires,6.193319206731314
dents,6.194225944221859
toped,6.194937940414133
clash,6.195861846276046
float,6.195986745256403
reuse,6.196099376413629
melts,6.196491434586983
nosey,6.196741741668521
brans,6.196818242292294
pains,6.197229741107532
trait,6.1976730150992765
weary,6.197852976351145
finer,6.197923377857684
naive,6.198176582823483
cards,6.1982613475995265
whale,6.198551468980879
posit,6.198902581889009
muser,6.199013322069898
trips,6.199223856447829
lifer,6.199611263950341
autos,6.199751922870655
choir,6.199809762219588
ogler,6.199920103331447
voter,6.200132080090867
abuse,6.200931708215228
caped,6.201744518405467
ranch,6.201780840554627
creel,6.201792649721399
lints,6.202789172817587
lakes,6.203240545404053
savor,6.203423027378757
livre,6.203743456347869
aimed,6.2040152273230875
stele,6.204309368046239
remap,6.204958105197491
piled,6.205056526704403
plans,6.20547544288639
weirs,6.205583804320155
frost,6.205727324043822
barns,6.205927348803664
sherd,6.206211954686844
medal,6.206350094427407
patio,6.206632069188711
curia,6.206915848776833
silty,6.2069913162709485
faint,6.207138894524728
wader,6.207339599060184
sneer,6.207376902299803
nerds,6.2079771369915395
amide,6.20806533248698
octal,6.208082863557163
intro,6.2082785129723534
actin,6.208974124838274
sears,6.210463963244205
carer,6.210587189584857
organ,6.210948204234157
lower,6.21115452341403
codes,6.211433397513229
count,6.211994956725973
carps,6.212098887606269
chest,6.212241917843472
ovate,6.212294155102132
north,6.212318545278158
boats,6.21259843293465
solve,6.2128969840200305
halos,6.2130970243899375
shake,6.2133666773101766
aunts,6.213477782494352
phone,6.213774944414659
lapin,6.214144005973722
durst,6.214304293773664
veals,6.214364571419783
